,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Simple_Date
304,Najran,17.4924,44.1277,63.25,19,16,2.08,SA,1634529329,2021-10-18
305,Novorzhev,57.0294,29.3338,36.73,84,6,10.13,RU,1634529331,2021-10-18
306,Mahajanga,-15.7167,46.3167,71.62,73,20,3.44,MG,1634529333,2021-10-18
307,Kavieng,-2.5744,150.7967,86.18,64,65,12.75,PG,1634529335,2021-10-18
308,Rio Grande,-32.035,-52.0986,50.95,73,0,4.74,BR,1634529337,2021-10-18
309,Chokurdakh,70.6333,147.9167,-6.47,100,82,2.39,RU,1634529340,2021-10-18
310,Meylan,45.2199,5.7901,53.94,83,92,2.51,FR,1634529342,2021-10-18
311,Nanakuli,21.3906,-158.1547,77.11,68,90,0.0,US,1634529344,2021-10-18
312,La Ronge,55.1001,-105.2842,43.05,70,1,3.44,CA,1634529346,2021-10-18
313,Farafangana,-22.8167,47.8333,73.04,76,8,10.98,MG,1634529348,2021-10-18
314,Bangkal,6.0667,121.0667,85.91,68,26,1.74,PH,1634529350,2021-10-18
315,Luganville,-15.5333,167.1667,81.12,79,100,5.08,VU,1634529351,2021-10-18
316,Mitsamiouli,-11.3847,43.2844,77.29,78,20,17.27,KM,1634529352,2021-10-18
317,Baghdad,33.3406,44.4009,64.31,59,0,5.75,IQ,1634529354,2021-10-18
318,Adrar,27.8743,-0.2939,66.45,22,0,6.91,DZ,1634529195,2021-10-18
319,Qandala,11.472,49.8728,84.45,52,9,3.33,SO,1634529358,2021-10-18
320,Camacha,33.0833,-16.3333,67.42,83,20,5.75,PT,1634529360,2021-10-18
321,Evensk,61.95,159.2333,19.26,62,100,25.21,RU,1634529362,2021-10-18
322,Pedernales,18.0384,-71.744,81.21,77,98,1.34,DO,1634529364,2021-10-18
323,Skibbereen,51.55,-9.2667,57.0,97,100,22.91,IE,1634529365,2021-10-18
324,Qianan,44.9932,124.0581,43.74,35,47,13.53,CN,1634529368,2021-10-18
325,Inhambane,-23.865,35.3833,75.18,100,75,0.0,MZ,1634529370,2021-10-18
326,Chernyshevskiy,63.0128,112.4714,32.05,86,100,14.18,RU,1634529372,2021-10-18
327,Roma,41.8947,12.4839,58.59,75,0,3.0,IT,1634529374,2021-10-18
328,Hongjiang,27.11,109.9956,68.4,58,56,1.72,CN,1634529376,2021-10-18
329,Bat Yam,32.0231,34.7503,69.91,75,75,2.3,IL,1634529377,2021-10-18
330,Celestun,20.8667,-90.4,79.57,83,100,12.71,MX,1634529379,2021-10-18
331,Acari,-15.4311,-74.6158,66.25,79,55,3.89,PE,1634529381,2021-10-18
332,Timizart,36.8,4.2667,59.11,70,16,4.9,DZ,1634529383,2021-10-18
333,Fairbanks,64.8378,-147.7164,31.3,75,90,0.0,US,1634529385,2021-10-18
334,Eirunepe,-6.6603,-69.8736,73.2,98,100,1.83,BR,1634529387,2021-10-18
335,Iquitos,-3.7481,-73.2472,77.04,94,20,0.0,PE,1634529391,2021-10-18
336,Daraitan,14.6028,121.4319,82.71,87,100,8.19,PH,1634529396,2021-10-18
337,Lorengau,-2.0226,147.2712,85.69,68,17,12.48,PG,1634529396,2021-10-18
338,Shimoda,34.6667,138.95,62.96,60,52,17.27,JP,1634529354,2021-10-18
339,Jakar,27.5492,90.7525,57.74,97,97,2.55,BT,1634529398,2021-10-18
340,Ati,13.2154,18.3353,83.17,39,55,7.34,TD,1634529399,2021-10-18
341,Zaoyang,32.1272,112.7542,59.32,49,87,8.03,CN,1634529401,2021-10-18
342,Moron,-34.6534,-58.6198,62.78,58,11,4.27,AR,1634529402,2021-10-18
343,Xam Nua,20.4197,104.0439,61.92,92,100,1.77,LA,1634529404,2021-10-18
344,Baherden,38.4362,57.4316,61.84,15,0,8.01,TM,1634529405,2021-10-18
345,Cartagena,10.3997,-75.5144,83.82,79,40,4.61,CO,1634529406,2021-10-18
346,Kadyy,57.787,43.1903,38.05,96,100,5.12,RU,1634529408,2021-10-18
347,Kahului,20.8947,-156.47,77.85,83,100,11.01,US,1634529410,2021-10-18
348,Muncar,-8.4333,114.3333,90.57,54,7,6.67,ID,1634529412,2021-10-18
349,Belaya Gora,68.5333,146.4167,6.37,84,74,1.28,RU,1634529413,2021-10-18
350,Jiayuguan,39.8167,98.3,51.93,18,98,5.84,CN,1634529266,2021-10-18
351,Balsas,-7.5325,-46.0356,84.0,51,99,1.45,BR,1634529416,2021-10-18
352,Kavaratti,10.5669,72.642,81.68,77,100,14.34,IN,1634529419,2021-10-18
353,Oussouye,12.485,-16.5469,80.78,81,100,2.62,SN,1634529419,2021-10-18
354,Esperance,-33.8667,121.9,71.44,64,0,12.26,AU,1634529423,2021-10-18
355,Along,28.1667,94.7667,84.47,64,71,0.85,IN,1634529425,2021-10-18
356,Santa Maria,-29.6842,-53.8069,56.5,88,0,6.91,BR,1634529426,2021-10-18
357,Necochea,-38.5473,-58.7368,44.6,82,0,2.98,AR,1634529428,2021-10-18
358,Matanzas,23.0411,-81.5775,75.51,79,19,3.96,CU,1634529433,2021-10-18
359,Shakiso,5.75,38.9167,58.12,83,54,2.66,ET,1634529434,2021-10-18
360,Bolobo,-2.1667,16.2333,71.28,98,100,0.27,CD,1634529436,2021-10-18
361,Clyde River,70.4692,-68.5914,29.26,79,100,16.04,CA,1634529438,2021-10-18
362,Solnechnyy,50.7214,136.6319,29.3,52,99,2.15,RU,1634529441,2021-10-18
363,Faanui,-16.4833,-151.75,80.71,78,15,16.37,PF,1634529441,2021-10-18
364,Dolores,-36.3132,-57.6792,47.39,96,78,4.34,AR,1634529443,2021-10-18
365,Hofn,64.2539,-15.2082,39.25,86,100,20.49,IS,1634529185,2021-10-18
366,Uvarovo,51.9849,42.2615,40.14,90,59,6.33,RU,1634529446,2021-10-18
367,Port Keats,-14.25,129.55,90.64,54,99,11.41,AU,1634529448,2021-10-18
368,Mahibadhoo,3.7833,72.9667,82.04,75,82,16.17,MV,1634529449,2021-10-18
369,Beaupre,47.0443,-70.8953,50.86,93,72,1.14,CA,1634529450,2021-10-18
370,Thunder Bay,48.4001,-89.3168,44.56,88,1,3.44,CA,1634529452,2021-10-18
371,Kaseda,31.4167,130.3167,69.03,54,100,4.05,JP,1634529453,2021-10-18
372,Saint Anthony,45.0205,-93.218,56.3,62,1,1.99,US,1634529454,2021-10-18
373,Christchurch,-43.5333,172.6333,60.94,71,75,11.99,NZ,1634529214,2021-10-18
374,Zelenogorskiy,55.0333,87.0,39.72,69,3,5.21,RU,1634529457,2021-10-18
375,Yarada,17.65,83.2667,86.32,79,40,4.61,IN,1634529459,2021-10-18
376,Xingtai,37.0631,114.4942,62.15,48,14,5.19,CN,1634529460,2021-10-18
377,West Plains,36.7281,-91.8524,53.33,89,0,1.01,US,1634529460,2021-10-18
378,Naze,28.3667,129.4833,77.92,54,100,11.59,JP,1634529370,2021-10-18
379,Saint-Joseph,-21.3667,55.6167,77.47,73,22,10.38,RE,1634529463,2021-10-18
380,Reconquista,-29.15,-59.65,56.05,69,0,7.07,AR,1634529465,2021-10-18
381,Itoman,26.1247,127.6694,81.37,58,40,16.11,JP,1634529237,2021-10-18
382,Dapaong,10.8639,0.205,77.0,66,83,1.88,TG,1634529468,2021-10-18
383,Staroaleyskoye,51.0061,82.0,42.85,58,3,0.34,RU,1634529471,2021-10-18
384,Campeche,19.85,-90.5333,76.75,88,100,7.65,MX,1634529472,2021-10-18
385,Goderich,43.7501,-81.7165,56.91,58,28,24.16,CA,1634529473,2021-10-18
386,Santa Marinella,42.0345,11.8536,58.71,75,0,3.94,IT,1634529475,2021-10-18
387,Black River,18.0264,-77.8487,80.6,83,97,3.47,JM,1634529478,2021-10-18
388,Vila Franca do Campo,37.7167,-25.4333,72.01,93,100,11.99,PT,1634529480,2021-10-18
389,Demmin,53.9076,13.0314,51.04,93,100,7.38,DE,1634529483,2021-10-18
390,Ust-Koksa,50.2696,85.6108,40.19,61,13,0.87,RU,1634529485,2021-10-18
391,Zyryanka,65.75,150.85,12.4,80,100,13.94,RU,1634529485,2021-10-18
392,Bonthe,7.5264,-12.505,77.23,86,94,4.45,SL,1634529488,2021-10-18
393,Paita,-5.0892,-81.1144,64.92,86,76,11.45,PE,1634529490,2021-10-18
394,Chegutu,-18.1302,30.1407,69.39,60,4,10.2,ZW,1634529492,2021-10-18
395,Mirabad,30.4362,61.8383,65.97,12,0,6.55,AF,1634529493,2021-10-18
396,Phan Thiet,10.9333,108.1,84.42,75,100,5.08,VN,1634529494,2021-10-18
397,Novyy Urengoy,66.0833,76.6333,38.32,94,100,16.55,RU,1634529495,2021-10-18
398,Mpika,-11.8343,31.4529,65.95,53,35,1.52,ZM,1634529496,2021-10-18
399,Zhumadian,32.9794,114.0294,61.45,47,70,8.12,CN,1634529497,2021-10-18
400,Ruzsa,46.2881,19.7471,37.78,67,7,3.65,HU,1634529497,2021-10-18
401,San Patricio,19.2167,-104.7,78.48,88,1,5.15,MX,1634529498,2021-10-18
402,Nalut,31.8685,10.9812,61.72,43,100,3.18,LY,1634529499,2021-10-18
403,Altoona,40.5187,-78.3947,48.63,81,10,1.01,US,1634529299,2021-10-18
404,Danielskuil,-28.1887,23.5395,37.63,60,0,11.25,ZA,1634529500,2021-10-18
405,Opoczno,51.3757,20.2783,46.22,86,100,7.65,PL,1634529501,2021-10-18
406,Palu,-0.8917,119.8707,90.64,61,45,3.24,ID,1634529502,2021-10-18
407,Nouadhibou,20.931,-17.0347,74.1,58,1,15.19,MR,1634529503,2021-10-18
408,Nome,64.5011,-165.4064,21.16,80,42,6.8,US,1634529504,2021-10-18
409,Port Blair,11.6667,92.75,83.89,75,87,10.25,IN,1634529505,2021-10-18
410,Tefe,-3.3542,-64.7114,75.24,91,74,0.89,BR,1634529506,2021-10-18
411,Praia da Vitoria,38.7333,-27.0667,69.76,83,40,9.78,PT,1634529506,2021-10-18
412,Parrita,9.5201,-84.3225,78.57,91,100,3.44,CR,1634529508,2021-10-18
413,Klaksvik,62.2266,-6.589,49.12,83,100,27.76,FO,1634529509,2021-10-18
414,Aliganj,27.5,79.1833,74.95,96,100,5.39,IN,1634529510,2021-10-18
415,Bilibino,68.0546,166.4372,-4.13,96,61,5.46,RU,1634529511,2021-10-18
416,Cassilandia,-19.1133,-51.7342,73.27,87,43,1.43,BR,1634529512,2021-10-18
417,Mende,44.5167,3.5,44.76,71,42,3.06,FR,1634529512,2021-10-18
418,Morondava,-20.2833,44.2833,78.51,69,90,2.66,MG,1634529513,2021-10-18
419,Bubaque,11.2833,-15.8333,81.16,66,99,1.92,GW,1634529514,2021-10-18
420,Pangody,65.85,74.4859,40.15,88,100,20.02,RU,1634529515,2021-10-18
421,Kununurra,-15.7667,128.7333,102.18,25,100,6.91,AU,1634529516,2021-10-18
422,Mutoko,-17.397,32.2268,72.34,45,39,8.5,ZW,1634529517,2021-10-18
423,Kaeo,-35.1,173.7833,74.32,58,0,8.61,NZ,1634529517,2021-10-18
424,Nantucket,41.2835,-70.0995,56.97,77,13,20.98,US,1634529518,2021-10-18
425,San Carlos de Bariloche,-41.1456,-71.3082,44.35,81,0,8.05,AR,1634529519,2021-10-18
426,Zhaotong,27.3167,103.7167,51.75,90,100,2.13,CN,1634529520,2021-10-18
427,Imbituba,-28.24,-48.6703,61.83,92,100,3.47,BR,1634529521,2021-10-18
428,Barra do Garcas,-15.89,-52.2567,77.23,78,82,0.54,BR,1634529422,2021-10-18
429,Beringovskiy,63.05,179.3167,29.8,84,100,8.88,RU,1634529523,2021-10-18
430,Ponta Delgada,37.7333,-25.6667,72.32,100,75,9.22,PT,1634529523,2021-10-18
431,Severodvinsk,64.5635,39.8302,35.71,97,100,9.26,RU,1634529524,2021-10-18
432,Chanute,37.6792,-95.4572,55.62,59,0,10.38,US,1634529525,2021-10-18
433,Belawan,3.7755,98.6832,79.09,90,100,3.31,ID,1634529526,2021-10-18
434,Staryy Nadym,65.6118,72.6842,39.11,77,87,23.67,RU,1634529527,2021-10-18
435,Llangefni,53.2556,-4.3106,57.72,88,75,12.66,GB,1634529527,2021-10-18
436,Saint-Georges,46.6247,-72.6577,50.34,76,99,4.61,CA,1634529528,2021-10-18
437,Batagay,67.6333,134.6333,7.84,80,82,3.36,RU,1634529530,2021-10-18
438,Havelock,34.8791,-76.9013,58.93,79,0,6.78,US,1634529531,2021-10-18
439,Nong Bua,15.8646,100.5858,73.38,96,100,0.69,TH,1634529531,2021-10-18
440,Uvira,-3.4067,29.1458,73.96,81,98,3.69,CD,1634529532,2021-10-18
441,Chistogorskiy,53.9835,87.3843,42.73,67,5,5.03,RU,1634529534,2021-10-18
442,Hokitika,-42.7167,170.9667,55.65,93,60,12.08,NZ,1634529535,2021-10-18
443,Riberalta,-10.9833,-66.1,73.76,81,34,2.42,BO,1634529535,2021-10-18
444,Irati,-25.4672,-50.6511,54.72,99,100,5.21,BR,1634529536,2021-10-18
445,Kieta,-6.2167,155.6333,84.43,65,88,4.72,PG,1634529537,2021-10-18
446,Surt,31.2089,16.5887,70.41,66,100,11.12,LY,1634529538,2021-10-18
447,Illela,13.7292,5.2975,78.46,72,67,5.68,NG,1634529539,2021-10-18
448,Misratah,32.3754,15.0925,72.54,59,100,6.17,LY,1634529540,2021-10-18
449,Ishigaki,24.3448,124.1572,78.93,65,40,12.66,JP,1634529541,2021-10-18
450,Gigmoto,13.7796,124.39,84.92,74,76,7.76,PH,1634529542,2021-10-18
451,Richmond,37.5538,-77.4603,51.15,85,1,8.05,US,1634529293,2021-10-18
452,Kotelnich,58.3089,48.348,38.86,96,100,6.73,RU,1634529544,2021-10-18
453,Killybegs,54.6333,-8.45,56.44,93,100,14.76,IE,1634529545,2021-10-18
454,Sainte-Maxime,43.3,6.6333,58.95,74,91,4.81,FR,1634529546,2021-10-18
455,Seshcha,53.7361,33.3387,40.32,85,100,10.49,RU,1634529547,2021-10-18
456,Antofagasta,-23.65,-70.4,56.48,72,42,5.44,CL,1634529547,2021-10-18
457,Boda,4.3189,17.4695,69.12,97,100,1.95,CF,1634529549,2021-10-18
458,Port Shepstone,-30.7414,30.455,56.71,64,12,17.96,ZA,1634529550,2021-10-18
459,Zhangye,38.9342,100.4517,56.46,17,50,2.51,CN,1634529550,2021-10-18
460,Zhigansk,66.7697,123.3711,19.45,89,100,21.54,RU,1634529552,2021-10-18
461,Shu,43.5983,73.7614,55.81,33,5,3.44,KZ,1634529553,2021-10-18
462,Raymondville,26.4815,-97.7831,73.9,64,98,5.93,US,1634529553,2021-10-18
463,Bathsheba,13.2167,-59.5167,81.21,83,40,8.05,BB,1634529554,2021-10-18
464,Bud,39.447,-86.1758,52.32,82,25,6.22,US,1634529555,2021-10-18
465,Riverton,40.5219,-111.9391,60.73,43,1,4.0,US,1634529556,2021-10-18
466,West Wendover,40.7391,-114.0733,58.08,31,60,2.33,US,1634529557,2021-10-18
467,Ligayan,4.6533,119.4706,83.82,73,66,5.28,PH,1634529557,2021-10-18
468,Husavik,66.0449,-17.3389,33.71,94,100,30.8,IS,1634529558,2021-10-18
469,Charlestown,-32.95,151.6667,80.94,51,99,4.0,AU,1634529559,2021-10-18
470,Jawhar,2.7809,45.5005,78.1,79,99,10.27,SO,1634529560,2021-10-18
471,Kupang,-10.1667,123.5833,90.18,66,20,11.5,ID,1634529561,2021-10-18
472,Boshkengash,38.4661,68.8053,53.94,43,20,6.71,TJ,1634529562,2021-10-18
473,Escanaba,45.7453,-87.0646,46.94,60,4,1.01,US,1634529563,2021-10-18
474,Beira,-19.8436,34.8389,78.89,83,75,8.01,MZ,1634529564,2021-10-18
475,Hit,33.6416,42.8251,70.09,43,23,9.1,IQ,1634529564,2021-10-18
476,San Vicente,-26.6167,-54.1333,55.26,100,31,3.18,AR,1634529565,2021-10-18
477,Abu Dhabi,24.4667,54.3667,78.91,73,0,2.3,AE,1634529566,2021-10-18
478,Juneau,58.3019,-134.4197,37.85,93,99,5.06,US,1634529363,2021-10-18
479,Pitimbu,-7.4706,-34.8086,77.59,80,96,9.57,BR,1634529568,2021-10-18
480,Pierre,44.3683,-100.351,56.86,65,3,1.99,US,1634529569,2021-10-18
481,Alpena,45.0617,-83.4327,51.12,81,38,3.0,US,1634529570,2021-10-18
482,Vila,42.0304,-8.1588,56.75,98,100,3.87,PT,1634529570,2021-10-18
483,Manicore,-5.8092,-61.3003,71.53,98,100,1.79,BR,1634529571,2021-10-18
484,Kawalu,-7.3817,108.2082,88.14,56,59,5.73,ID,1634529573,2021-10-18
485,Susangerd,31.5608,48.1831,75.22,17,10,17.69,IR,1634529574,2021-10-18
486,Kizema,61.113,44.8302,36.18,82,96,10.02,RU,1634529574,2021-10-18
487,Bambanglipuro,-7.95,110.2833,90.81,53,60,5.37,ID,1634529575,2021-10-18
488,Chitrakonda,18.1167,82.0833,79.75,83,100,2.08,IN,1634529576,2021-10-18
489,Nongpoh,25.9,91.8833,82.78,94,99,0.98,IN,1634529577,2021-10-18
490,Beyneu,45.3167,55.2,50.68,50,46,10.78,KZ,1634529578,2021-10-18
491,Yerbogachen,61.2767,108.0108,33.22,83,100,12.24,RU,1634529578,2021-10-18
492,Muscat,23.6139,58.5922,86.16,36,0,2.98,OM,1634529579,2021-10-18
493,Tibati,6.4667,12.6333,66.78,97,100,3.09,CM,1634529580,2021-10-18
494,Polson,47.6936,-114.1632,51.76,61,88,1.36,US,1634529581,2021-10-18
495,Rantauprapat,2.1,99.8333,82.6,70,100,3.29,ID,1634529582,2021-10-18
496,Adamas,36.7333,24.4333,60.22,72,10,13.62,GR,1634529582,2021-10-18
497,Darhan,49.4867,105.9228,39.49,49,3,7.63,MN,1634529583,2021-10-18
498,Xacmaz,41.4635,48.806,61.9,87,90,7.65,AZ,1634529584,2021-10-18
499,Suamico,44.6319,-88.0393,52.57,60,4,3.0,US,1634529585,2021-10-18
500,Zheleznodorozhnyy,55.7503,38.0042,43.21,82,100,9.24,RU,1634529586,2021-10-18
501,Palora,-1.7,-77.9333,64.26,95,78,2.68,EC,1634529586,2021-10-18
502,Nemuro,43.3236,145.575,50.43,49,5,7.61,JP,1634529587,2021-10-18
503,Jiangyou,31.7667,104.7167,60.85,70,57,4.56,CN,1634529588,2021-10-18
504,Deer Lake,49.1667,-57.4316,40.86,87,90,13.8,CA,1634529589,2021-10-18
505,Lieksa,63.3167,30.0167,35.53,89,98,13.27,FI,1634529590,2021-10-18
506,Huarmey,-10.0681,-78.1522,63.43,87,100,7.96,PE,1634529590,2021-10-18
507,Swan River,52.1058,-101.2676,42.69,75,7,4.61,CA,1634529591,2021-10-18
508,Nicoya,10.1483,-85.452,72.95,97,100,2.95,CR,1634529592,2021-10-18
509,Lagoa Santa,-19.6272,-43.8897,72.01,88,75,12.66,BR,1634529594,2021-10-18
510,Port Lavaca,28.615,-96.6261,64.45,70,1,4.61,US,1634529595,2021-10-18
511,Pasighat,28.0667,95.3333,89.22,53,37,2.75,IN,1634529596,2021-10-18
512,Kovdor,67.5662,30.4758,32.81,93,100,14.45,RU,1634529597,2021-10-18
513,Lavumisa,-27.31,31.892,58.15,86,100,9.33,SZ,1634529597,2021-10-18
514,Mount Isa,-20.7333,139.5,98.37,12,29,6.91,AU,1634529598,2021-10-18
515,Verkhnevilyuysk,63.4453,120.3167,25.48,92,100,9.55,RU,1634529599,2021-10-18
516,Oyon,-10.6681,-76.7731,44.82,93,98,1.12,PE,1634529600,2021-10-18
517,Paamiut,61.994,-49.6678,32.27,36,1,6.71,GL,1634529601,2021-10-18
518,Praya,-8.7054,116.2704,89.46,58,75,3.44,ID,1634529605,2021-10-18
519,Koyelga,54.6522,60.9049,48.02,58,100,7.78,RU,1634529607,2021-10-18
520,Miri,4.4148,114.0089,85.62,71,17,6.49,MY,1634529609,2021-10-18
521,Marystown,47.1666,-55.1483,48.85,100,78,1.99,CA,1634529614,2021-10-18
522,Kloulklubed,7.0419,134.2556,86.5,73,50,11.23,PW,1634529624,2021-10-18
523,Cap Malheureux,-19.9842,57.6142,77.47,72,73,11.99,MU,1634529628,2021-10-18
524,Marfino,55.7028,37.3822,42.94,87,20,8.95,RU,1634529629,2021-10-18
525,Mahebourg,-20.4081,57.7,77.25,71,75,16.6,MU,1634529631,2021-10-18
526,Chauk,20.8833,94.8167,82.02,77,97,4.54,MM,1634529632,2021-10-18
527,Oranjestad,12.524,-70.027,83.21,80,2,13.78,AW,1634529633,2021-10-18
528,Hay River,60.8156,-115.7999,30.72,79,26,7.76,CA,1634529634,2021-10-18
529,Krutikha,53.9599,81.2093,41.86,68,100,6.13,RU,1634529635,2021-10-18
530,Ahuimanu,21.4447,-157.8378,79.75,70,90,17.63,US,1634529636,2021-10-18
531,Ruthin,53.1137,-3.3178,54.75,92,100,1.01,GB,1634529636,2021-10-18
532,Parana,-31.732,-60.5238,57.29,90,6,6.89,AR,1634529637,2021-10-18
533,Haimen,23.1935,116.6142,75.06,65,15,12.48,CN,1634529638,2021-10-18
534,Faxinal,-24.0003,-51.3194,62.73,98,100,0.83,BR,1634529639,2021-10-18
535,Isangel,-19.55,169.2667,78.03,82,100,3.83,VU,1634529640,2021-10-18
536,Vilyuysk,63.7553,121.6247,24.21,92,100,9.24,RU,1634529641,2021-10-18
537,Sioux Lookout,50.1001,-91.917,42.8,72,0,4.09,CA,1634529642,2021-10-18
538,Kudahuvadhoo,2.6708,72.8944,83.08,71,42,14.56,MV,1634529642,2021-10-18
539,Jumla,29.2747,82.1838,56.61,93,96,4.38,NP,1634529643,2021-10-18
540,Sembabule,-0.0772,31.4567,61.97,95,93,3.47,UG,1634529644,2021-10-18
541,Damaturu,11.747,11.9608,80.71,62,23,2.62,NG,1634529645,2021-10-18
542,Coquimbo,-29.9533,-71.3436,53.33,93,0,2.3,CL,1634529497,2021-10-18
543,Polis,35.0367,32.4264,71.42,84,86,10.56,CY,1634529647,2021-10-18
544,Eagle Pass,28.7091,-100.4995,65.26,37,1,8.48,US,1634529626,2021-10-18
545,Portland,45.5234,-122.6762,54.48,87,100,1.99,US,1634529425,2021-10-18
546,Sterling,39.0062,-77.4286,53.58,81,1,1.01,US,1634529576,2021-10-18
547,Eydhafushi,5.1033,73.0708,81.81,76,100,19.1,MV,1634529651,2021-10-18
548,Gouyave,12.1646,-61.7296,81.57,77,73,9.98,GD,1634529652,2021-10-18
549,Abnub,27.2696,31.1511,70.9,40,79,5.88,EG,1634529652,2021-10-18
550,Lengshuijiang,27.6881,111.4294,65.17,63,48,2.13,CN,1634529653,2021-10-18
551,The Valley,18.217,-63.0578,83.1,71,16,2.44,AI,1634529654,2021-10-18
552,Srivardhan,18.0333,73.0167,83.43,68,5,3.09,IN,1634529655,2021-10-18
553,Eldorado,-23.7869,-54.2836,65.08,93,100,4.34,BR,1634529656,2021-10-18
554,Iberia,-11.35,-69.5833,76.32,72,95,0.81,PE,1634529657,2021-10-18
555,Amahai,-3.3333,128.9167,85.48,69,83,5.26,ID,1634529658,2021-10-18
556,Churapcha,62.0025,132.4325,17.35,71,100,6.73,RU,1634529658,2021-10-18
557,Nikolayevka,53.1257,47.2041,47.12,86,100,4.21,RU,1634529659,2021-10-18
558,Udachnyy,66.4167,112.4,33.84,99,100,18.63,RU,1634529660,2021-10-18
559,Baykit,61.67,96.37,38.53,86,98,3.42,RU,1634529662,2021-10-18
