,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,Katsuura,35.1333,140.3,293.21,43,1,8.07,JP,1634969103
117,Puntarenas,9.9763,-84.8384,299.11,92,64,1.86,CR,1634969105
118,Bilma,18.6853,12.9164,298.12,18,25,3.75,NE,1634969106
119,Kondinskoye,59.6481,67.41,281.8,82,98,7.74,RU,1634969107
120,Mar del Plata,-38.0023,-57.5575,285.98,90,90,0.45,AR,1634968769
121,Jaru,-10.4389,-62.4664,298.66,79,94,1.4,BR,1634969109
122,Yulara,-25.2406,130.9889,303.56,22,0,7.08,AU,1634968876
123,Hilo,19.7297,-155.09,297.19,92,90,2.06,US,1634968761
124,Ostersund,63.1792,14.6357,271.27,86,90,1.54,SE,1634969111
125,Prince Rupert,54.3161,-130.3201,280.2,90,90,5.66,CA,1634969112
126,Hermanus,-34.4187,19.2345,289.15,75,92,9.66,ZA,1634968612
127,College,64.8569,-147.8028,272.92,86,40,1.54,US,1634969114
128,Camacha,33.0833,-16.3333,291.57,82,40,3.6,PT,1634969114
129,Dingalan,15.3897,121.3929,302.4,72,97,5.08,PH,1634969115
130,Severodvinsk,64.5635,39.8302,271.21,81,100,5.36,RU,1634969116
131,Marienburg,5.8469,-55.0216,298.15,94,91,2.75,SR,1634969118
132,Mahebourg,-20.4081,57.7,298.85,73,34,6.82,MU,1634968843
133,Salalah,17.0151,54.0924,300.93,56,75,3.22,OM,1634968666
134,Arlit,18.7369,7.3853,301.23,16,12,4.62,NE,1634969121
135,Tiksi,71.6872,128.8694,257.42,95,100,0.77,RU,1634968880
136,Antigonish,45.6169,-61.9986,290.95,92,100,0.45,CA,1634969123
137,Xam Nua,20.4197,104.0439,292.18,74,100,1.23,LA,1634969123
138,Portland,45.5234,-122.6762,285.28,92,90,0.45,US,1634968862
139,Thinadhoo,0.5333,72.9333,301.6,71,80,5.45,MV,1634969126
140,Seoul,37.5683,126.9778,291.81,27,0,3.36,KR,1634968964
141,Coxim,-18.5067,-54.76,300.59,47,13,2.31,BR,1634969127
142,Osuna,37.2377,-5.1075,285.88,84,1,1.73,ES,1634969128
143,Nilokheri,29.8333,76.9167,302.02,38,0,3.41,IN,1634969129
144,Progreso,21.2833,-89.6667,299.21,90,100,3.5,MX,1634969130
145,Bambanglipuro,-7.95,110.2833,302.06,68,100,4.74,ID,1634969131
146,Poum,-20.2333,164.0167,297.53,78,5,8.59,NC,1634969131
147,Saint-Philippe,-21.3585,55.7679,301.19,80,41,5.29,RE,1634968839
148,Pevek,69.7008,170.3133,262.13,93,100,2.73,RU,1634969133
149,Kununurra,-15.7667,128.7333,313.14,29,40,4.12,AU,1634969134
150,La Ronge,55.1001,-105.2842,273.29,80,90,7.72,CA,1634968704
151,Provideniya,64.3833,-173.3,269.59,76,100,3.62,RU,1634968618
152,Santa Lucia,27.9117,-15.5407,289.88,73,75,9.26,ES,1634968970
153,Te Anau,-45.4167,167.7167,289.89,62,99,0.54,NZ,1634969137
154,Tondano,1.3038,124.9112,298.2,93,100,0.49,ID,1634969137
155,Lebu,-37.6167,-73.65,282.92,72,83,5.6,CL,1634969138
156,Umm Lajj,25.0213,37.2685,300.5,50,0,5.65,SA,1634969139
157,Kavaratti,10.5669,72.642,301.06,75,66,2.1,IN,1634969140
158,Nishihara,26.1842,127.7558,296.96,54,75,4.63,JP,1634969141
159,Boulsa,12.6675,-0.5758,298.88,61,75,2.64,BF,1634969142
160,Ilheus,-14.7889,-39.0494,295.87,93,98,3.64,BR,1634969142
161,Sao Filipe,14.8961,-24.4956,299.29,70,0,2.35,CV,1634969143
162,Bongandanga,1.5,21.05,297.73,79,40,0.68,CD,1634969146
163,Yichang,30.7144,111.2847,293.22,35,51,1.86,CN,1634969146
164,Prata,-19.3072,-48.9242,293.41,49,0,1.94,BR,1634969147
165,Harnosand,62.6323,17.9379,272.16,76,77,7.02,SE,1634969148
166,Novopavlovka,51.2172,109.2091,282.5,33,0,2.48,RU,1634969149
167,Aasiaat,68.7098,-52.8699,263.8,95,100,5.37,GL,1634969150
168,Tigil,57.8,158.6667,271.38,94,100,2.57,RU,1634969151
169,Tamale,9.4008,-0.8393,296.83,91,100,2.46,GH,1634969152
170,Narsaq,60.9167,-46.05,276.27,99,100,1.77,GL,1634968837
171,North Bend,43.4065,-124.2243,285.41,97,90,3.09,US,1634969110
172,Osmena,10.5208,119.9258,301.02,78,57,5.16,PH,1634969154
173,Lata,40.1629,-8.3327,286.38,75,5,1.82,PT,1634968814
174,Sangar,63.9242,127.4739,267.26,93,100,2.64,RU,1634968840
175,Aswan,24.0934,32.907,297.08,38,0,5.67,EG,1634969047
176,Paamiut,61.994,-49.6678,273.97,55,2,11.66,GL,1634969052
177,Salym,60.0625,71.4789,279.23,94,100,5.4,RU,1634969158
178,Barra do Garcas,-15.89,-52.2567,295.78,89,13,1.37,BR,1634969159
179,Moroni,-11.7022,43.2551,300.11,66,60,1.71,KM,1634969160
180,Lagoa,39.05,-27.9833,292.64,72,52,5.96,PT,1634968850
181,Yermakovskoye,53.2831,92.4003,280.48,46,82,2.46,RU,1634969161
182,Kiunga,-6.1219,141.2906,305.94,48,60,1.43,PG,1634969163
183,Grindavik,63.8424,-22.4338,280.41,93,90,4.12,IS,1634969164
184,Ukholovo,53.7929,40.4892,280.51,62,22,6.83,RU,1634969165
185,San-Pedro,4.7485,-6.6363,297.24,92,82,1.6,CI,1634969166
186,Bengkulu,-3.8004,102.2655,301.53,73,96,3.02,ID,1634968798
187,Chota,-6.55,-78.65,284.99,94,93,0.95,PE,1634969167
188,Kosh-Agach,50.0,88.6667,276.49,47,62,2.45,RU,1634969168
189,Kropotkin,45.4375,40.5756,287.51,46,0,3.22,RU,1634969169
190,Abaza,52.655,90.0928,280.61,46,62,1.61,RU,1634969170
191,Cartagena del Chaira,1.3349,-74.8429,294.99,98,33,1.28,CO,1634969172
192,Al,60.6282,8.5628,276.58,78,52,2.26,NO,1634969173
193,Kontagora,10.3999,5.4695,295.95,91,99,2.5,NG,1634969174
194,Codrington,-38.2667,141.9667,286.45,68,52,6.32,AU,1634968636
195,Benghazi,32.1167,20.0667,294.89,53,12,7.42,LY,1634969175
196,Maldonado,-34.9,-54.95,288.1,94,90,5.14,UY,1634969176
197,Pangnirtung,66.1451,-65.7125,269.6,72,91,3.61,CA,1634969177
198,Russell,38.8953,-98.8598,288.21,88,1,4.63,US,1634969178
199,Ostrovnoy,68.0531,39.5131,274.18,66,100,9.68,RU,1634969179
200,Puerto Madryn,-42.7692,-65.0385,288.74,29,48,10.82,AR,1634968888
201,Tashla,51.7716,52.7427,284.42,71,100,5.56,RU,1634969180
202,Chuy,-33.6971,-53.4616,286.0,77,100,0.36,UY,1634968799
203,Chagoda,59.164,35.3285,276.81,83,96,3.79,RU,1634969182
204,Nalut,31.8685,10.9812,291.96,36,11,3.62,LY,1634969182
205,Nelson Bay,-32.7167,152.15,300.18,77,7,7.73,AU,1634969115
206,Barra do Bugres,-15.0725,-57.1811,296.29,94,76,1.84,BR,1634969184
207,Acarau,-2.8856,-40.12,299.74,81,73,3.93,BR,1634969185
208,Yarim,14.298,44.3779,287.83,31,22,5.52,YE,1634969186
209,Gigmoto,13.7796,124.39,298.49,93,100,3.32,PH,1634969187
210,Dandong,40.1292,124.3947,287.62,35,0,1.84,CN,1634969035
211,Kampot,10.6167,104.1833,304.18,69,77,3.18,KH,1634969188
212,Chokurdakh,70.6333,147.9167,248.32,99,98,1.3,RU,1634968834
213,Chapais,49.7834,-74.8492,272.12,80,100,1.42,CA,1634969190
214,Dwarka,22.2394,68.9678,300.5,68,65,6.61,IN,1634969191
215,Brae,60.3964,-1.353,282.1,73,97,6.11,GB,1634969192
216,Porterville,36.0652,-119.0168,290.24,75,99,2.54,US,1634968899
217,Marabba,12.35,32.1833,305.11,35,30,3.45,SD,1634969193
218,Longyearbyen,78.2186,15.6401,266.06,86,40,1.03,SJ,1634969194
219,Kaa-Khem,51.6833,94.7333,278.32,42,100,2.01,RU,1634969195
220,Fuerte Olimpo,-21.0415,-57.8738,300.67,50,26,3.38,PY,1634969196
221,Yakima,46.6021,-120.5059,283.24,84,1,1.54,US,1634969197
222,Hualmay,-11.0964,-77.6139,289.59,87,43,4.23,PE,1634968827
223,Mariakani,-3.8633,39.4736,300.58,56,80,2.45,KE,1634969198
224,Nkhotakota,-12.9274,34.2961,300.85,53,4,1.56,MW,1634969199
225,Wasilla,61.5814,-149.4394,278.62,79,1,1.34,US,1634969200
226,Srednekolymsk,67.45,153.6833,251.16,97,51,0.21,RU,1634969201
227,Lipari,38.4674,14.954,295.0,75,60,2.53,IT,1634969202
228,Ancud,-41.8697,-73.8203,281.16,88,99,5.07,CL,1634968913
229,Charters Towers,-20.1,146.2667,309.69,20,29,4.54,AU,1634969204
230,Tazovskiy,67.4667,78.7,269.64,94,94,2.72,RU,1634969204
231,Araouane,18.9048,-3.5265,297.66,24,2,4.4,ML,1634969206
232,Clyde River,70.4692,-68.5914,267.47,90,99,2.55,CA,1634968879
233,Marsa Matruh,31.3525,27.2453,293.8,61,2,1.9,EG,1634969141
234,Nanortalik,60.1432,-45.2371,276.22,98,100,5.71,GL,1634968838
235,Madison,43.0731,-89.4012,279.03,88,20,0.0,US,1634969209
236,Cabra,37.4725,-4.4421,285.87,62,3,1.41,ES,1634969210
237,Porbandar,21.6422,69.6093,301.49,57,31,5.49,IN,1634969211
238,Atar,20.5169,-13.0499,296.73,23,98,3.16,MR,1634969212
239,Alta Floresta,-9.8756,-56.0861,294.9,96,100,1.32,BR,1634968779
240,Lasa,46.6166,10.7002,276.68,62,18,1.73,IT,1634969179
241,Amahai,-3.3333,128.9167,302.41,68,46,2.26,ID,1634969056
242,Sorong,-0.8833,131.25,301.71,72,82,3.35,ID,1634969116
243,Motala,58.5371,15.0365,277.02,69,38,5.29,SE,1634969216
244,Namatanai,-3.6667,152.4333,301.96,71,70,4.85,PG,1634969217
245,Alofi,-19.0595,-169.9187,296.88,64,91,7.71,NU,1634969219
246,Atambua,-9.1061,124.8925,303.39,59,25,2.96,ID,1634968748
247,Berlevag,70.8578,29.0864,274.57,58,100,7.33,NO,1634969221
248,Sandwick,60.0,-1.25,282.05,71,75,5.66,GB,1634969222
249,Wamba,8.9333,8.6,294.49,96,100,0.13,NG,1634969223
250,Ponta do Sol,32.6667,-17.1,293.5,67,24,3.14,PT,1634968767
251,Kieta,-6.2167,155.6333,301.95,72,26,2.86,PG,1634969224
252,Jumla,29.2747,82.1838,291.5,49,5,2.53,NP,1634969225
253,Eyl,7.9803,49.8164,300.8,63,19,2.61,SO,1634969226
254,Esperance,-33.8667,121.9,293.06,49,8,7.09,AU,1634968708
255,Ibra,22.6906,58.5334,302.37,34,0,1.13,OM,1634969228
256,Zhangjiakou,40.81,114.8794,284.19,27,0,0.93,CN,1634969229
257,Mackenzie,55.2999,-123.1698,277.1,91,3,0.96,CA,1634969229
258,Grand Gaube,-20.0064,57.6608,298.92,71,73,4.47,MU,1634969040
259,Asau,46.4333,26.4,285.24,81,100,1.71,RO,1634969231
260,Phuket,7.8906,98.3981,301.93,98,75,0.74,TH,1634969232
261,Lima,-12.0432,-77.0282,289.76,80,40,4.63,PE,1634969228
262,Luanda,-8.8368,13.2343,297.55,83,99,2.92,AO,1634969126
263,Maragogi,-9.0122,-35.2225,297.56,87,6,3.19,BR,1634969235
264,Lander,42.833,-108.7307,285.6,44,1,5.14,US,1634969236
265,Hami,42.8,93.45,289.71,22,19,1.78,CN,1634969237
266,Vegreville,53.5001,-112.0518,278.75,51,100,7.74,CA,1634969072
267,Kang,-23.6752,22.7876,295.06,14,0,4.28,BW,1634969044
268,Bolgatanga,10.7856,-0.8514,297.16,86,67,1.87,GH,1634969239
269,Zholymbet,51.7433,71.7122,281.48,58,100,11.91,KZ,1634969240
270,Norsup,-16.0667,167.3833,300.8,78,56,3.32,VU,1634969241
271,Ballina,-28.8667,153.5667,306.25,76,5,7.06,AU,1634969242
272,Miraflores,1.3367,-71.9511,295.88,90,86,1.07,CO,1634969243
273,Mwinilunga,-11.7358,24.4293,296.11,65,13,1.63,ZM,1634969244
274,Gizo,-8.103,156.8419,301.95,73,48,2.79,SB,1634969245
275,Ferrol,43.4832,-8.2369,283.29,87,17,2.39,ES,1634969246
276,Sitka,57.0531,-135.33,279.72,91,100,3.14,US,1634968628
277,Nouadhibou,20.931,-17.0347,293.83,80,42,7.68,MR,1634969057
278,Bodaybo,57.8506,114.1933,278.19,68,70,0.26,RU,1634969248
279,Ucluelet,48.9329,-125.5528,284.87,89,99,0.89,CA,1634969185
280,Shenjiamen,29.9576,122.298,292.15,55,100,5.46,CN,1634969249
281,Eureka,40.8021,-124.1637,286.83,91,100,0.89,US,1634968548
282,Khorol,49.7837,33.2783,283.65,60,48,5.01,UA,1634969252
283,San Quintin,30.4833,-115.95,289.95,88,4,5.38,MX,1634969252
284,Velikiy Novgorod,58.5167,31.2833,276.75,86,13,4.74,RU,1634969029
285,Sao Pedro do Sul,-29.6206,-54.1789,287.82,87,19,2.2,BR,1634969255
286,Mongagua,-24.0931,-46.6208,295.33,86,11,1.66,BR,1634969255
287,Rypin,53.066,19.4094,279.83,77,87,8.8,PL,1634969257
288,Santa Cruz del Sur,20.7147,-77.9956,299.65,80,71,2.26,CU,1634969258
289,Finschhafen,-6.6024,147.8681,301.72,68,100,3.62,PG,1634969258
290,Hambantota,6.1241,81.1185,304.34,70,40,4.63,LK,1634969043
291,Carnarvon,-24.8667,113.6333,300.19,50,0,8.75,AU,1634968766
292,Tessalit,20.1986,1.0114,298.15,24,13,3.24,ML,1634969261
293,Akhalgori,42.126,44.4833,282.88,39,0,1.2,GE,1634969261
294,Taonan,45.3333,122.7833,288.03,24,0,5.23,CN,1634969262
295,Salisbury,51.0693,-1.7957,282.86,90,61,1.33,GB,1634969234
296,Tyukalinsk,55.8732,72.1967,281.1,72,100,8.9,RU,1634969264
297,Lodja,-3.4833,23.4333,298.81,71,74,0.05,CD,1634969266
298,Sistranda,63.7256,8.834,280.13,59,100,9.43,NO,1634969267
299,Lavrentiya,65.5833,-171.0,270.15,83,100,5.19,RU,1634969268
300,Nambucca Heads,-30.65,153.0,299.26,84,47,7.2,AU,1634969269
301,The Valley,18.217,-63.0578,301.07,70,4,9.51,AI,1634969270
302,Malinovoye Ozero,51.6753,79.7825,280.13,45,93,8.95,RU,1634969271
303,Iquitos,-3.7481,-73.2472,297.17,94,75,0.0,PE,1634969272
304,Fort Nelson,58.8053,-122.7002,270.92,100,75,2.06,CA,1634969273
305,Glenwood Springs,39.5505,-107.3248,283.19,44,1,8.75,US,1634969128
306,Srednyaya Yelyuzan,53.0241,45.9529,282.89,67,31,5.89,RU,1634969274
307,Kaseda,31.4167,130.3167,293.62,48,56,1.9,JP,1634969275
308,Tubmanburg,6.8708,-10.8172,295.43,99,100,1.1,LR,1634969276
309,Punto Fijo,11.6956,-70.1996,300.6,78,6,10.65,VE,1634969277
310,Viedma,-40.8135,-62.9967,280.42,90,2,5.19,AR,1634969278
311,Pasighat,28.0667,95.3333,301.33,63,1,1.98,IN,1634969279
312,Kande,9.9578,1.0447,296.1,85,100,1.29,TG,1634969280
313,Satara,17.6833,73.9833,300.16,52,60,2.56,IN,1634969281
314,Jogindarnagar,31.9833,76.7667,296.24,38,100,2.13,IN,1634969282
315,Adrar,27.8743,-0.2939,294.65,45,0,3.31,DZ,1634968835
316,Qaqortoq,60.7167,-46.0333,276.43,98,100,1.35,GL,1634969227
317,Ilulissat,69.2167,-51.1,267.16,68,40,6.69,GL,1634969285
318,Norman Wells,65.282,-126.8329,277.17,75,20,3.6,CA,1634968574
319,Goderich,43.7501,-81.7165,274.84,70,100,2.32,CA,1634969057
320,Mansfield,53.1333,-1.2,282.14,93,38,2.89,GB,1634969287
321,Torbay,47.6666,-52.7314,285.79,96,90,5.66,CA,1634968816
322,Mineral Wells,32.8085,-98.1128,295.62,82,1,3.6,US,1634969289
323,Sumbe,-11.2061,13.8437,297.07,77,84,1.81,AO,1634969290
324,Bhag,29.0415,67.8239,303.21,9,0,2.13,PK,1634969291
325,Dawei,14.0833,98.2,302.4,78,100,1.26,MM,1634969293
326,Debre Tabor,11.85,38.0167,288.2,57,13,1.45,ET,1634969235
327,Shubarshi,48.5872,57.1869,285.03,74,71,8.04,KZ,1634969295
328,Visby,57.6409,18.296,278.63,75,75,9.26,SE,1634969296
329,Zhangye,38.9342,100.4517,288.52,23,12,2.3,CN,1634969297
330,La Palma,33.8464,-118.0467,292.0,83,90,0.0,US,1634969178
331,Faanui,-16.4833,-151.75,298.27,80,81,5.94,PF,1634969299
332,Whitstable,51.3607,1.0257,283.32,95,35,2.74,GB,1634969300
333,Thompson,55.7435,-97.8558,271.97,92,86,1.07,CA,1634968817
334,Impfondo,1.6381,18.0667,296.55,88,87,0.04,CG,1634969302
335,Svetlyy,54.675,20.1347,280.18,74,70,8.62,RU,1634969303
336,Evensk,61.95,159.2333,260.24,75,87,3.82,RU,1634969304
337,Tilichiki,60.4667,166.1,257.53,87,23,2.81,RU,1634969305
338,Cairns,-16.9167,145.7667,307.56,70,75,3.6,AU,1634969306
339,West Bay,19.3667,-81.4167,300.93,86,74,3.07,KY,1634969306
340,Waddan,29.1614,16.139,295.43,33,54,4.94,LY,1634969307
341,Edson,53.5835,-116.4356,278.18,72,100,2.1,CA,1634969308
342,Solaro,44.8799,9.1732,285.45,96,1,0.48,IT,1634969309
343,Constitucion,-35.3333,-72.4167,282.76,71,2,3.82,CL,1634969310
344,Samarai,-10.6167,150.6667,300.42,80,100,6.61,PG,1634968894
345,Leningradskiy,69.3833,178.4167,256.5,87,56,3.89,RU,1634968763
346,Yerbogachen,61.2767,108.0108,277.78,80,86,5.18,RU,1634969312
347,Los Llanos de Aridane,28.6585,-17.9182,291.55,78,75,0.89,ES,1634969313
348,Port Blair,11.6667,92.75,299.0,80,100,2.94,IN,1634969230
349,Dunedin,-45.8742,170.5036,285.26,77,97,5.36,NZ,1634968889
350,San Miguel,15.1454,120.9789,304.26,66,99,4.17,PH,1634969315
351,Maralal,1.0968,36.698,292.99,54,52,2.69,KE,1634969316
352,Hovd,48.0056,91.6419,281.12,28,100,0.88,MN,1634969317
353,Kavieng,-2.5744,150.7967,302.77,68,18,5.91,PG,1634969318
354,Svetlaya,46.5389,138.3297,283.56,50,4,2.67,RU,1634969319
355,Port Lincoln,-34.7333,135.8667,288.29,56,7,7.79,AU,1634968783
356,Ust-Maya,60.4167,134.5333,272.09,83,100,0.8,RU,1634969320
357,Flinders,-34.5833,150.8552,299.38,71,60,0.89,AU,1634969321
